side,entry_time,exit_time,duration_hours,entry_price,exit_price,price_move_pct,net_pnl,return_on_equity,r_multiple,exit_category,exit_reason,result,year,entry_hour
long,2023-07-10T20:00:00+00:00,2023-07-10T21:00:00+00:00,1.0,30843.56748,30222.25987460714,-2.0143830826175875,-87.11915548177417,-0.031485805793710894,-1.049526859790363,risk_stop,risk_stop,loss,2023,20
short,2023-07-14T19:00:00+00:00,2023-07-14T21:00:00+00:00,2.0,30085.801636,30195.227838,-0.3637137654629145,-9.072967846022816,-0.003385669314462402,-0.1128556438154134,correction_exit,two opposing-body correction bars with depth 1.59 ATR,loss,2023,19
long,2023-07-23T19:00:00+00:00,2023-07-23T21:00:00+00:00,2.0,30254.059601999998,30137.461302000003,-0.38539720465245025,-33.5969714931726,-0.012579638723338053,-0.4193212907779351,correction_exit,correction depth 4.61 ATR >= 2.5,loss,2023,19
long,2023-08-02T01:00:00+00:00,2023-08-02T15:00:00+00:00,14.0,29828.004408,29204.859109750003,-2.0891283564476995,-82.88938241613981,-0.03143148234098775,-1.047716078032925,risk_stop,risk_stop,loss,2023,1
long,2023-08-08T13:00:00+00:00,2023-08-08T15:00:00+00:00,2.0,29584.475712,29433.232176,-0.5112260141850377,-41.831238735539266,-0.016377074934881726,-0.5459024978293909,correction_exit,correction depth 3.85 ATR >= 2.5,loss,2023,13
long,2023-08-08T18:00:00+00:00,2023-08-08T23:00:00+00:00,5.0,29814.521712,29762.056398,-0.1759723483301235,-18.287169481257205,-0.0072786939438890304,-0.24262313146296768,correction_exit,correction depth 3.95 ATR >= 2.5,loss,2023,18
long,2023-08-14T16:00:00+00:00,2023-08-14T18:00:00+00:00,2.0,29605.92,29355.54325260714,-0.8456982501906932,-83.83861710395527,-0.0336142736895508,-1.1204757896516933,risk_stop,risk_stop,loss,2023,16
long,2023-08-23T18:00:00+00:00,2023-08-23T21:00:00+00:00,3.0,26544.65787,26588.28128,0.1643396958199339,3.5731053734249394,0.0014824325524552936,0.04941441841517646,correction_exit,correction depth 2.65 ATR >= 2.5,win,2023,18
short,2023-08-24T16:00:00+00:00,2023-08-25T17:00:00+00:00,25.0,25991.150729999998,25940.527068,0.19477268446435636,5.2620152246424805,0.0021799065871459253,0.07266355290486418,correction_exit,two opposing-body correction bars with depth 2.50 ATR,win,2023,16
short,2023-09-15T13:00:00+00:00,2023-09-15T17:00:00+00:00,4.0,26359.397065999998,26385.245994,-0.0980634266227001,-11.204320864666087,-0.004631542247151556,-0.15438474157171853,correction_exit,two opposing-body correction bars with depth 1.72 ATR,loss,2023,13
long,2023-09-18T12:00:00+00:00,2023-09-18T17:00:00+00:00,5.0,27202.419395999998,26832.60704792857,-1.3594832970107318,-77.58600715449928,-0.03222104491340284,-1.0740348304467613,risk_stop,risk_stop,loss,2023,12
short,2023-09-21T11:00:00+00:00,2023-09-21T17:00:00+00:00,6.0,26644.570020000003,26589.126762,0.208084641479994,7.323973218392727,0.003142872708924644,0.10476242363082147,correction_exit,correction depth 2.51 ATR >= 2.5,win,2023,11
long,2023-09-27T11:00:00+00:00,2023-09-27T14:00:00+00:00,3.0,26447.878518,26236.287764214285,-0.8000292108182183,-79.07612905993763,-0.0338269353927709,-1.1275645130923635,risk_stop,risk_stop,loss,2023,11
short,2023-10-11T04:00:00+00:00,2023-10-11T20:00:00+00:00,16.0,27010.636792,26768.542638,0.8962919159007222,32.31844172735475,0.014309113848588463,0.4769704616196155,correction_exit,two opposing-body correction bars with depth 1.89 ATR,win,2023,4
long,2023-10-13T22:00:00+00:00,2023-10-14T00:00:00+00:00,2.0,27024.60384,26856.6276,-0.6215678164775642,-42.07059831686544,-0.018364143901772618,-0.6121381300590872,correction_exit,correction depth 2.51 ATR >= 2.5,loss,2023,22
long,2023-10-20T04:00:00+00:00,2023-10-20T10:00:00+00:00,6.0,29241.217074,29792.14038,1.8840642118479305,54.3079226133409,0.02414931274215699,0.8049770914052331,correction_exit,correction depth 2.80 ATR >= 2.5,win,2023,4
long,2023-10-20T10:00:00+00:00,2023-10-21T21:00:00+00:00,35.0,29804.059619999996,30009.686862,0.6899303135939785,19.818302631941638,0.008604878913332076,0.28682929711106925,correction_exit,two opposing-body correction bars with depth 1.96 ATR,win,2023,10
long,2023-11-09T04:00:00+00:00,2023-11-09T16:00:00+00:00,12.0,36445.667676,35751.4557785,-1.9047857859856034,-73.34356903005046,-0.031573249569996846,-1.0524416523332283,risk_stop,risk_stop,loss,2023,4
long,2023-11-19T20:00:00+00:00,2023-11-20T02:00:00+00:00,6.0,36956.359794,37284.001708,0.8865643581411221,51.40017967453294,0.022848363668661074,0.7616121222887026,correction_exit,correction depth 2.80 ATR >= 2.5,win,2023,20
long,2023-11-28T18:00:00+00:00,2023-11-29T12:00:00+00:00,18.0,38218.39215,38097.029070000004,-0.3175515064152052,-13.804239986102353,-0.005999177498815356,-0.1999725832938452,correction_exit,correction depth 2.63 ATR >= 2.5,loss,2023,18
long,2023-12-08T22:00:00+00:00,2023-12-09T00:00:00+00:00,2.0,44536.245467999994,44162.1658,-0.8399443286452457,-42.40699489189181,-0.018540863857618616,-0.6180287952539539,correction_exit,two opposing-body correction bars with depth 1.58 ATR,loss,2023,22
long,2023-12-13T21:00:00+00:00,2023-12-14T01:00:00+00:00,4.0,42883.45497599999,42780.282232,-0.24058869337309033,-11.029524908313835,-0.00491334263231991,-0.16377808774399702,correction_exit,two opposing-body correction bars with depth 2.48 ATR,loss,2023,21
short,2023-12-18T03:00:00+00:00,2023-12-18T14:00:00+00:00,11.0,40892.389886,41510.57616942857,-1.511739189497004,-71.54721416025785,-0.03202964094186302,-1.067654698062101,risk_stop,risk_stop,loss,2023,3
long,2024-01-01T20:00:00+00:00,2024-01-02T06:00:00+00:00,10.0,43526.683596,45170.444104,3.7764432577883262,136.81374837261086,0.06327425274638764,2.109141758212921,correction_exit,two opposing-body correction bars with depth 1.95 ATR,win,2024,20
long,2024-01-04T16:00:00+00:00,2024-01-05T01:00:00+00:00,9.0,44059.91022,43151.837013321434,-2.0609964980508853,-72.30841466776324,-0.03145146109376259,-1.048382036458753,risk_stop,risk_stop,loss,2024,16
long,2024-01-08T19:00:00+00:00,2024-01-09T21:00:00+00:00,26.0,46979.414004,44758.51061432143,-4.727396960484594,-68.18080006540934,-0.030619118851655937,-1.0206372950551978,risk_stop,risk_stop,loss,2024,19
short,2024-01-12T17:00:00+00:00,2024-01-13T00:00:00+00:00,7.0,43615.265202,42791.296548,1.8891749257602137,25.94236862066661,0.01201837556984214,0.40061251899473804,correction_exit,correction depth 3.87 ATR >= 2.5,win,2024,17
short,2024-01-18T21:00:00+00:00,2024-01-18T23:00:00+00:00,2.0,40827.43288,41362.940934,-1.3116378283541938,-42.65686294213168,-0.01952705100888507,-0.650901700296169,correction_exit,two opposing-body correction bars with depth 1.54 ATR,loss,2024,21
short,2024-01-22T03:00:00+00:00,2024-01-22T07:00:00+00:00,4.0,41309.706406000005,41214.231197999994,0.2311205193802673,9.480128596015131,0.004426152361785822,0.1475384120595274,correction_exit,correction depth 3.67 ATR >= 2.5,win,2024,3
short,2024-01-23T11:00:00+00:00,2024-01-23T17:00:00+00:00,6.0,38909.486546,39582.632622107136,-1.7300307350787618,-68.35369985434555,-0.03177284807992953,-1.059094935997651,risk_stop,risk_stop,loss,2024,11
long,2024-01-26T12:00:00+00:00,2024-01-26T14:00:00+00:00,2.0,41297.777903999995,41013.44567,-0.6884928159111786,-15.377752600571515,-0.007382606681655975,-0.2460868893885325,correction_exit,two opposing-body correction bars with depth 2.46 ATR,loss,2024,12
long,2024-01-29T17:00:00+00:00,2024-01-30T15:00:00+00:00,22.0,43208.650002,43465.3052,0.5939903190405638,9.813869550936747,0.004746519416256424,0.15821731387521412,correction_exit,correction depth 2.50 ATR >= 2.5,win,2024,17
